Numéro de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
FE213147;ETT;01/04/2021 10:45;NA;+43.34548;+5.60343
FE213148;ETT;01/04/2021 11:40;NA;+43.646033;+5.578266
FE213149;ETT;01/04/2021 11:30;NA;+43.388392;+4.802894
FE213150;ETT;06/05/2021 12:00;NA;+43.28718;+5.62296
FE213151;ETT;06/05/2021 12:00;NA;+43.41152;+4.98376
FE213152;ETT;06/05/2021 12:00;NA;+43.887976;+4.853564
FE213602;ETU;23/01/2024 11:00;NA;+43.288173;+5.392430
FE213603;ETU;16/01/2024 00:00;NA;+43.260864;+5.387143
FE213604;ETU;16/01/2024 00:00;NA;+43.394837;+5.343767
FE221000;ETU;17/12/2025 00:00;NA;+47.336563;+5.057209
FE221001;ETU;23/12/2025 10:00;NA;+47.336083;+5.059753
FE221100;ETT;04/12/2019 00:00;NA;+47.290114;+5.008049
FE225102;ETU;29/01/2024 00:00;NA;+47.463551;+6.832488
FE226000;ETFR;18/08/2010 00:00;NA;+44.55906;+4.72964
FE226001;ETFR;16/12/2010 00:00;NA;+44.91317;+4.87781
FE226003;ETFR;18/08/2010 00:00;NA;+45.04504;+5.06501
FE230135;ETT;30/05/2022 16:30;NA;+43.832719;+4.384942
FE231607;ETU;10/04/2024 10:30;NA;+43.626082;+1.437804
FE231610;ETU;08/04/2024 00:00;NA;+43.604364;+1.405512
FE234187;ETT;07/06/2022 00:00;NA;+43.619818;+3.849899
FE234616;ETU;04/11/2025 14:55;NA;+43.57956;+3.86973
FE234617;ETU;27/10/2025 20:20;NA;+43.61989;+3.8882
FE238000;ETFR;29/09/2010 00:00;NA;+45.54121;+4.85427
FE238001;ETFR;21/04/2010 00:00;NA;+45.17990;+5.70476
FE238206;ETT;27/01/2023 14:30;NA;+45.134564;+5.700912
FE238214;ETT;09/07/2025 14:35;NA;+45.617102;+5.153033
FE242000;ETFR;28/04/2011 00:00;NA;+45.44229;+4.37915
FE242002;ETFR;20/05/2011 00:00;NA;+45.40390;+4.36654
FE242003;ETFR;18/03/2011 00:00;NA;+45.41575;+4.40116
FE242007;ETFR;20/05/2011 00:00;NA;+45.40320;+4.36445
FE242100;ETT;13/08/2021 00:00;NA;+45.423407;+4.392343
FE242204;ETT;02/02/2023 00:00;NA;+46.050485;+4.066308
FE242205;ETT;06/03/2023 00:00;NA;+46.050843;+4.067060
FE259100;ETT;28/10/2019 00:00;NA;+50.6945;+3.171861
FE259101;ETT;23/03/2022 09:48;NA;+50.394972;+3.468577
FE259103;ETT;05/02/2022 00:00;NA;+50.630784;+3.077556
FE260100;ETT;28/02/2022 00:00;NA;+49.470806;+2.756152
FE260101;ETT;07/06/2023 00:00;NA;+49.342800;+2.606447
FE260102;ETT;11/03/2022 00:00;NA;+49.24971;+2.645069
FE260103;ETT;09/03/2022 00:00;NA;+49.398110;+3.044734
FE260104;ETT;17/03/2022 00:00;NA;+49.289615;+2.878428
FE260105;ETT;09/03/2022 00:00;NA;+49.510648;+2.923644
FE260106;ETT;13/04/2022 00:00;NA;+49.256830;+2.487185
FE260107;ETT;13/04/2022 00:00;NA;+49.256107;+2.487315
FE260108;ETT;26/04/2022 00:00;NA;+49.259642;+2.474886
FE260109;ETT;23/05/2022 00:00;NA;+49.25285;+2.47740
FE260110;ETT;28/04/2022 00:00;NA;+49.252488;+2.476831
FE260111;ETT;23/05/2022 00:00;NA;+49.251835;+2.477333
FE260112;ETT;16/03/2022 00:00;NA;+49.288131;+2.201321
FE260114;ETT;09/05/2022 00:00;NA;+49.479683;+2.045194
FE260115;ETT;29/09/2023 00:00;NA;+49.215106;+2.414439
FE260116;ETT;20/07/2023 00:00;NA;+49.192813;+2.464968
FE260117;ETT;14/09/2023 00:00;NA;+49.199509;+2.579678
FE260118;ETT;01/06/2023 00:00;NA;+49.208464;+2.590922
FE260119;ETT;12/06/2023 00:00;NA;+49.358583;+2.791081
FE263002;ETFR;05/10/2009 00:00;NA;+45.77853;+3.11069
FE263003;ETFR;05/10/2009 00:00;NA;+45.77158;+3.09350
FE263006;ETFR;22/08/2011 00:00;NA;+45.73871;+3.20065
FE263007;ETFR;28/03/2011 00:00;NA;+45.761898;+3.126357
FE263008;ETFR;28/04/2011 00:00;NA;+45.76242;+3.12623
FE263009;ETFR;22/06/2011 00:00;NA;+45.90042;+3.10420
FE263010;ETFR;28/04/2011 00:00;NA;+45.77319;+3.12052
FE263011;ETFR;28/03/2011 00:00;NA;+45.90110;+3.10344
FE263207;ETT;01/02/2023 00:00;NA;+45.79706;+3.11637
FE267100;ETT;30/01/2020 00:00;NA;+48.574523;+7.737271
FE269022;ETFR;09/03/2012 00:00;NA;+45.75788;+4.77445
FE269028;ETFR;14/05/2012 00:00;NA;+45.58865;+4.77085
FE269155;ETT;26/03/2024 14:25;NA;+45.745904;+4.927406
